Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,70.85607493696635,25.99521231680251,5.10014683653102,3.380000000000005e-2,5.58368879545168e-3,
Q1,58.24680236793433,129.28921754420108,5.238512570114343,8.339999999999992e-2,1.5058981207774269e-2,"CX1_0: 4.292e-2, CX1_2: 3.796e-2"
Q2,54.81639979073298,105.8390035212975,5.032572454819747,3.739999999999999e-2,9.137337609622875e-3,"CX2_3: 4.140e-2"
Q3,81.11700652508534,73.37448847161816,4.8962314260740705,3.709999999999991e-2,1.8553073784146612e-3,
Q4,42.66951426645598,28.471806549271157,5.030691818609651,5.689999999999995e-2,6.4458579015020945e-3,"CX4_3: 5.394e-2, CX4_10: 1.060e-1"
Q5,24.514157127531895,50.473698148502166,5.067162875039709,5.230000000000001e-2,4.656249560268e-3,"CX5_4: 6.315e-2, CX5_6: 5.152e-2, CX5_9: 6.670e-2"
Q6,63.570588928778086,80.67141208724298,4.923819769510274,4.349999999999998e-2,2.959474952043628e-3,"CX6_8: 3.375e-2"
Q7,49.78989284503598,80.31350170799952,4.974543078033776,1.7789999999999995e-1,2.7719701268414942e-3,"CX7_8: 2.981e-2"
Q8,57.92465518454211,77.55152926541109,4.73955551309739,3.069999999999995e-2,3.8931277536491393e-3,
Q9,41.27438080715668,56.79460116804702,4.963376976940882,3.190000000000004e-2,6.264576866953586e-3,"CX9_8: 5.043e-2, CX9_10: 4.903e-2"
Q10,48.612256624379654,61.0699281054671,4.945063079021925,5.9900000000000064e-2,4.061488851087813e-3,
Q11,66.78816147368596,97.82234274420846,5.005004169310411,4.6599999999999975e-2,2.6174791282902454e-3,"CX11_3: 4.546e-2, CX11_10: 3.735e-2, CX11_12: 4.587e-2"
Q12,53.87462304144426,93.95884761395297,4.7599608441062085,6.86e-2,8.520608991054557e-3,"CX12_2: 6.893e-2"
Q13,26.20732343957899,44.98265195786989,4.96852573501597,5.0799999999999956e-2,1.3021637710879719e-2,"CX13_1: 1.308e-1, CX13_12: 6.064e-2"
